2022-04-21 00:25:17,518 [    INFO] batch script start
2022-04-21 00:25:18,000 [    INFO] start to calculate indicators
2022-04-21 01:16:00,908 [ WARNING] symbol:7857 error:('prices length is less than long terms',)
2022-04-21 01:16:07,039 [ WARNING] symbol:7869 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:16,728 [ WARNING] symbol:7891 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:48,177 [ WARNING] symbol:8072 error:('prices length is less than long terms',)
2022-04-21 01:16:56,099 [ WARNING] symbol:8186 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:57,942 [ WARNING] symbol:8205 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:17:08,066 [ WARNING] symbol:8298 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:18:13,914 [ WARNING] symbol:9087 error:('prices length is less than long terms',)
2022-04-21 01:19:14,545 [ WARNING] symbol:9707 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:18,331 [ WARNING] symbol:9733 error:('prices length is less than long terms',)
2022-04-21 01:19:24,647 [ WARNING] symbol:9758 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:45,741 [ WARNING] symbol:9829 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:47,726 [ WARNING] symbol:9836 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:11,460 [ WARNING] symbol:9909 error:('prices length is less than long terms',)
2022-04-21 01:20:22,633 [ WARNING] symbol:9943 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:40,559 [ WARNING] symbol:6414 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:42,500 [ WARNING] symbol:8257 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:23:25,475 [ WARNING] symbol:7203 error:('prices length is less than long terms',)
2022-04-21 01:27:12,722 [ WARNING] symbol:7230 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:27:22,780 [ WARNING] symbol:7274 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:29:03,173 [ WARNING] symbol:8184 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:31:19,081 [ WARNING] symbol:9792 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:32:38,186 [ WARNING] symbol:3938 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:33:22,311 [ WARNING] symbol:3564 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:33:40,528 [ WARNING] symbol:7321 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:36:04,839 [ WARNING] symbol:4033 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:38:49,893 [ WARNING] symbol:6839 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:40:30,491 [ WARNING] symbol:8692 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:41:29,500 [ WARNING] symbol:6065 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:41:35,615 [ WARNING] symbol:6077 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:42:06,980 [ WARNING] symbol:7873 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:43:19,235 [ WARNING] symbol:9671 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:44:28,893 [ WARNING] symbol:3751 error:('prices length is less than long terms',)
2022-04-21 01:44:32,950 [ WARNING] symbol:3822 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:47:22,017 [ WARNING] symbol:3975 error:('prices length is less than long terms',)
2022-04-21 01:49:00,527 [ WARNING] symbol:6274 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:52:33,597 [ WARNING] symbol:7448 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:53:39,170 [ WARNING] symbol:8251 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:54:44,595 [ WARNING] symbol:3545 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:58:01,452 [ WARNING] symbol:7591 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:58:03,475 [ WARNING] symbol:7594 error:('prices length is less than long terms',)
2022-04-21 01:58:59,009 [ WARNING] symbol:8087 error:('prices length is less than long terms',)
2022-04-21 01:59:02,992 [ WARNING] symbol:8090 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:01:06,603 [ WARNING] symbol:3298 error:('prices length is less than long terms',)
2022-04-21 02:02:11,591 [ WARNING] symbol:3227 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:02:21,320 [ WARNING] symbol:3308 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:02:33,499 [ WARNING] symbol:3473 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:04:50,214 [ WARNING] symbol:3689 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:10:16,977 [ WARNING] symbol:4585 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:10:41,967 [ WARNING] symbol:4399 error:('prices length is less than long terms',)
2022-04-21 02:13:35,572 [ WARNING] symbol:2405 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:13:37,581 [ WARNING] symbol:2417 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:13:49,489 [ WARNING] symbol:2608 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:13:55,118 [ WARNING] symbol:2655 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:13:58,838 [ WARNING] symbol:2675 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:15:03,289 [ WARNING] symbol:3125 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:15:11,000 [ WARNING] symbol:3209 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:16:34,779 [ WARNING] symbol:4115 error:('prices length is less than long terms',)
2022-04-21 02:16:46,547 [ WARNING] symbol:4342 error:('prices length is less than long terms',)
2022-04-21 02:17:13,687 [ WARNING] symbol:4695 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:17:29,241 [ WARNING] symbol:4952 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:17:58,121 [ WARNING] symbol:5189 error:('prices length is less than long terms',)
2022-04-21 02:18:30,686 [ WARNING] symbol:5614 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:18:53,838 [ WARNING] symbol:5918 error:('prices length is less than long terms',)
2022-04-21 02:19:43,876 [ WARNING] symbol:6112 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:20:05,307 [ WARNING] symbol:6299 error:('prices length is less than long terms',)
2022-04-21 02:20:52,678 [ WARNING] symbol:6591 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:21:06,249 [ WARNING] symbol:6709 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:21:41,388 [ WARNING] symbol:6945 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:22:22,220 [ WARNING] symbol:7404 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:22:33,693 [ WARNING] symbol:7515 error:('prices length is less than long terms',)
2022-04-21 02:22:41,632 [ WARNING] symbol:7565 error:('prices length is less than long terms',)
2022-04-21 02:22:43,452 [ WARNING] symbol:7587 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:22:53,203 [ WARNING] symbol:7703 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:23:02,777 [ WARNING] symbol:7768 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:23:56,561 [ WARNING] symbol:8044 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:25:45,831 [ WARNING] symbol:9361 error:('prices length is less than long terms',)
2022-04-21 02:26:37,066 [ WARNING] symbol:9826 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 02:28:03,514 [    INFO] the calculation of all indicators is completed!!
2022-04-21 02:28:03,901 [    INFO] batch script finish!!
