2022-04-19 23:51:47,599 [    INFO] batch script start
2022-04-19 23:51:47,892 [    INFO] start to calculate indicators
2022-04-19 23:52:37,923 [ WARNING] symbol:8729 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-19 23:57:04,158 [ WARNING] symbol:9437 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:15:40,037 [ WARNING] symbol:9681 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:17:21,219 [ WARNING] symbol:1983 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:18:59,584 [ WARNING] symbol:4217 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:19:03,317 [ WARNING] symbol:4321 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:19:07,413 [ WARNING] symbol:4508 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:22:19,699 [ WARNING] symbol:7251 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:23:05,320 [ WARNING] symbol:8028 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:23:07,171 [ WARNING] symbol:8036 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:24:01,730 [ WARNING] symbol:8586 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:24:03,543 [ WARNING] symbol:8589 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:24:14,077 [ WARNING] symbol:8703 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:26:00,899 [ WARNING] symbol:1722 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:26:23,227 [ WARNING] symbol:1824 error:('prices length is less than long terms',)
2022-04-20 01:26:39,476 [ WARNING] symbol:1865 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:26:56,344 [ WARNING] symbol:1883 error:('prices length is less than long terms',)
2022-04-20 01:29:05,859 [ WARNING] symbol:2151 error:('prices length is less than long terms',)
2022-04-20 01:29:15,924 [ WARNING] symbol:2174 error:('prices length is less than long terms',)
2022-04-20 01:30:33,701 [ WARNING] symbol:2398 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:33:14,918 [ WARNING] symbol:3098 error:('prices length is less than long terms',)
2022-04-20 01:33:54,134 [ WARNING] symbol:3194 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:34:15,810 [ WARNING] symbol:3258 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:34:58,790 [ WARNING] symbol:3408 error:('prices length is less than long terms',)
2022-04-20 01:35:38,232 [ WARNING] symbol:3606 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:36:34,551 [ WARNING] symbol:3756 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:38:12,013 [ WARNING] symbol:4282 error:('prices length is less than long terms',)
2022-04-20 01:39:11,021 [ WARNING] symbol:4517 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:40:37,096 [ WARNING] symbol:4696 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:41:17,280 [ WARNING] symbol:9277 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:41:21,212 [ WARNING] symbol:4779 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:43:32,532 [ WARNING] symbol:7203 error:('prices length is less than long terms',)
2022-04-20 01:44:14,140 [ WARNING] symbol:1728 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:44:25,995 [ WARNING] symbol:1782 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:44:51,834 [ WARNING] symbol:1906 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:46:08,605 [ WARNING] symbol:2362 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:47:19,857 [ WARNING] symbol:2714 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:48:50,275 [ WARNING] symbol:3171 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:49:28,222 [ WARNING] symbol:3344 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:49:57,440 [ WARNING] symbol:3424 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:50:09,569 [ WARNING] symbol:3515 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:50:21,625 [ WARNING] symbol:3711 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:52:19,697 [ WARNING] symbol:4557 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:52:41,507 [ WARNING] symbol:4640 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:53:00,204 [ WARNING] symbol:4669 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:53:18,250 [ WARNING] symbol:4734 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:55:00,716 [ WARNING] symbol:5935 error:('prices length is less than long terms',)
2022-04-20 01:55:50,892 [ WARNING] symbol:6256 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:56:01,123 [ WARNING] symbol:6281 error:('prices length is less than long terms',)
2022-04-20 01:56:55,416 [ WARNING] symbol:6628 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:57:20,887 [ WARNING] symbol:6722 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:57:48,783 [ WARNING] symbol:6852 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:58:02,652 [ WARNING] symbol:6889 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:58:22,625 [ WARNING] symbol:6944 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:59:24,248 [ WARNING] symbol:7465 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:59:37,528 [ WARNING] symbol:7509 error:('prices length is less than long terms',)
2022-04-20 01:59:39,399 [ WARNING] symbol:7519 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 01:59:45,365 [ WARNING] symbol:7531 error:('prices length is less than long terms',)
2022-04-20 02:00:01,557 [ WARNING] symbol:7577 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:00:13,653 [ WARNING] symbol:7612 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:01:04,475 [ WARNING] symbol:7834 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:01:20,911 [ WARNING] symbol:7857 error:('prices length is less than long terms',)
2022-04-20 02:01:26,773 [ WARNING] symbol:7869 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:01:36,828 [ WARNING] symbol:7891 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:02:09,839 [ WARNING] symbol:8072 error:('prices length is less than long terms',)
2022-04-20 02:02:18,999 [ WARNING] symbol:8186 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:02:21,052 [ WARNING] symbol:8205 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:02:31,270 [ WARNING] symbol:8298 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:03:38,636 [ WARNING] symbol:9087 error:('prices length is less than long terms',)
2022-04-20 02:04:38,978 [ WARNING] symbol:9707 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:04:43,104 [ WARNING] symbol:9733 error:('prices length is less than long terms',)
2022-04-20 02:04:48,918 [ WARNING] symbol:9758 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:05:10,001 [ WARNING] symbol:9829 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:05:11,898 [ WARNING] symbol:9836 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:05:36,630 [ WARNING] symbol:9909 error:('prices length is less than long terms',)
2022-04-20 02:05:46,638 [ WARNING] symbol:9943 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:06:05,804 [ WARNING] symbol:6414 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:06:07,856 [ WARNING] symbol:8257 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:08:54,399 [ WARNING] symbol:7203 error:('prices length is less than long terms',)
2022-04-20 02:12:44,268 [ WARNING] symbol:7230 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:12:54,159 [ WARNING] symbol:7274 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:14:37,825 [ WARNING] symbol:8184 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:16:57,021 [ WARNING] symbol:9792 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:18:20,873 [ WARNING] symbol:3938 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:19:07,236 [ WARNING] symbol:3564 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:19:26,887 [ WARNING] symbol:7321 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:21:57,256 [ WARNING] symbol:4033 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:24:43,643 [ WARNING] symbol:6839 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:26:26,375 [ WARNING] symbol:8692 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:27:24,182 [ WARNING] symbol:6065 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:27:30,036 [ WARNING] symbol:6077 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:28:00,327 [ WARNING] symbol:7873 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:29:15,530 [ WARNING] symbol:9671 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:30:27,925 [ WARNING] symbol:3751 error:('prices length is less than long terms',)
2022-04-20 02:30:32,023 [ WARNING] symbol:3822 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:33:33,063 [ WARNING] symbol:3975 error:('prices length is less than long terms',)
2022-04-20 02:35:15,852 [ WARNING] symbol:6274 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:38:41,819 [ WARNING] symbol:7448 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:39:46,405 [ WARNING] symbol:8251 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:40:53,062 [ WARNING] symbol:3545 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:44:15,866 [ WARNING] symbol:7591 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:44:17,727 [ WARNING] symbol:7594 error:('prices length is less than long terms',)
2022-04-20 02:45:14,309 [ WARNING] symbol:8087 error:('prices length is less than long terms',)
2022-04-20 02:45:18,316 [ WARNING] symbol:8090 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:47:28,040 [ WARNING] symbol:3298 error:('prices length is less than long terms',)
2022-04-20 02:48:36,115 [ WARNING] symbol:3227 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:48:46,044 [ WARNING] symbol:3308 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:48:58,152 [ WARNING] symbol:3473 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:51:24,170 [ WARNING] symbol:3689 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:57:06,006 [ WARNING] symbol:4585 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 02:57:33,678 [ WARNING] symbol:4399 error:('prices length is less than long terms',)
2022-04-20 03:00:38,517 [ WARNING] symbol:2405 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:00:40,385 [ WARNING] symbol:2417 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:00:52,561 [ WARNING] symbol:2608 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:00:58,371 [ WARNING] symbol:2655 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:01:02,164 [ WARNING] symbol:2675 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:02:09,801 [ WARNING] symbol:3125 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:02:17,643 [ WARNING] symbol:3209 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:03:46,473 [ WARNING] symbol:4115 error:('prices length is less than long terms',)
2022-04-20 03:03:58,414 [ WARNING] symbol:4342 error:('prices length is less than long terms',)
2022-04-20 03:04:29,011 [ WARNING] symbol:4695 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:04:44,956 [ WARNING] symbol:4952 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:05:15,180 [ WARNING] symbol:5189 error:('prices length is less than long terms',)
2022-04-20 03:05:50,444 [ WARNING] symbol:5614 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:06:15,855 [ WARNING] symbol:5918 error:('prices length is less than long terms',)
2022-04-20 03:07:09,455 [ WARNING] symbol:6112 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:07:31,629 [ WARNING] symbol:6299 error:('prices length is less than long terms',)
2022-04-20 03:08:19,545 [ WARNING] symbol:6591 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:08:33,663 [ WARNING] symbol:6709 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:09:10,228 [ WARNING] symbol:6945 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:09:52,614 [ WARNING] symbol:7404 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-20 03:10:04,553 [ WARNING] symbol:7515 error:('prices length is less than long terms',)
2022-04-20 03:10:13,018 [ WARNING] symbol:7565 error:('prices length is less than long terms',)
